task,scenario,accuracy,sample_latency_average,accelerator_type,input_resolution,benchmark_model
Image Classification,Single-Stream,62.46,3.199824641,RTX PRO 6000 Max-Q,inputResolution:112,resnet50_w1_0
Image Classification,Single-Stream,48.95,0.875812787,RTX PRO 6000 Max-Q,inputResolution:112,mobilenetv2_w1_0
Image Classification,Single-Stream,56.85,6.225794469,RTX PRO 6000 Max-Q,inputResolution:96,resnet101_w1_0
Image Classification,Single-Stream,54.12,3.231360008,RTX PRO 6000 Max-Q,inputResolution:96,resnet50_w1_0
Image Classification,Single-Stream,39.67,0.925343721,RTX PRO 6000 Max-Q,inputResolution:96,mobilenetv2_w1_0
Image Classification,Single-Stream,46.83,6.155355753,RTX PRO 6000 Max-Q,inputResolution:80,resnet101_w1_0
Image Classification,Single-Stream,43.82,3.209213866,RTX PRO 6000 Max-Q,inputResolution:80,resnet50_w1_0
Image Classification,Single-Stream,29.53,0.889244451,RTX PRO 6000 Max-Q,inputResolution:80,mobilenetv2_w1_0
Image Classification,Single-Stream,31.73,6.17294796,RTX PRO 6000 Max-Q,inputResolution:64,resnet101_w1_0
Image Classification,Single-Stream,29.2,3.150145089,RTX PRO 6000 Max-Q,inputResolution:64,resnet50_w1_0
Image Classification,Single-Stream,16.8,0.850298955,RTX PRO 6000 Max-Q,inputResolution:64,mobilenetv2_w1_0
Image Classification,Single-Stream,16.08,6.151873408,RTX PRO 6000 Max-Q,inputResolution:48,resnet101_w1_0
Image Classification,Single-Stream,14.06,3.117199389,RTX PRO 6000 Max-Q,inputResolution:48,resnet50_w1_0
Image Classification,Single-Stream,6.87,0.835276788,RTX PRO 6000 Max-Q,inputResolution:48,mobilenetv2_w1_0
